Pos	X	Y	Slit	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL			
67	120.1536	22	1	595a1_880-265268.xlsx	4857.304	0.135	0.672	0.197	17.03	5.026	12.19	3.798	4953.823	0.069	0.315	0.225	14.42	21.16	4.831	3.741	5002.453	0.069	0.315	0.225	43.26	63.49	14.49	11.22			
68	118.7232	22	1	595a1_880-269272.xlsx	4857.388	0.161	1.338	0.254	16.36	3.648	23.3	5.217	4954.729	0.11	0.338	0.231	6.441	7.328	2.317	1.439	5003.358	0.11	0.338	0.231	19.32	21.98	6.952	4.318			
69	117.2928	22	1	595a1_880-273276.xlsx	4858.163	0.177	-1.028	0.601	13.28	5.251	-14.53	-5.771	4954.04	0.097	-0.579	0.141	7.007	1.589	-4.317	-1.142	5002.669	0.097	-0.579	0.141	21.02	4.767	-12.95	-3.427			
70	115.8624	22	1	595a1_880-277280.xlsx	4857.462	0.134	0.831	0.294	15.52	5.199	13.73	4.908	4954.229	0.182	1.03	0.333	4.302	1.554	4.716	1.674	5002.859	0.182	1.03	0.333	12.91	4.662	14.15	5.021			
71	114.432	22	1	595a1_880-281284.xlsx	4855.618	1.3	5.186	2.458	4.117	2.013	22.73	10.99	4954.369	0.448	2.375	0.676	2.659	0.77	6.722	2.277	5002.999	0.448	2.375	0.676	7.978	2.31	20.17	6.83			
72	113.0016	22	1	595a1_880-285288.xlsx	4855.685	0.825	1.875	1.105	-3.415	2.606	-6.816	-5.603	4954.795	0	0.089	0.106	13.52	36.28	1.286	1.947	5003.425	0	0.089	0.106	40.57	108.8	3.859	5.841			
73	111.5712	22	1	595a1_880-289292.xlsx	4857.594	0.331	1.327	0.431	8.551	3.749	12.08	5.163	4954.823	0.178	1.33	0.268	4.64	1.11	6.57	1.638	5003.453	0.178	1.33	0.268	13.92	3.329	19.71	4.913			
74	110.1408	22	1	595a1_880-293296.xlsx	4857.176	0.151	1.582	0.354	18.66	3.612	31.41	6.126	4954.602	0.13	1.325	0.343	6.463	1.338	9.112	1.861	5003.232	0.13	1.325	0.343	19.39	4.013	27.34	5.582			
75	108.7104	22	1	595a1_880-297300.xlsx	4857.595	0.118	1.217	0.246	24.46	4.316	31.68	5.659	4954.431	0.136	1.1	0.317	6.614	1.517	7.746	1.789	5003.061	0.136	1.1	0.317	19.84	4.552	23.24	5.366			
76	107.28	22	1	595a1_880-301304.xlsx	4857.466	0.093	1.24	0.262	26.3	4.426	34.71	5.916	4954.421	0.095	1.11	0.211	9.68	1.454	11.44	1.783	5003.051	0.095	1.11	0.211	29.04	4.361	34.32	5.35			
