Pos	X	Y	Slit	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL
44	142.146	22	1	595r1_878-173176.xlsx	6557.653	0.046	1.072	0.099	85.87	7.187	97.99	8.391	6542.515	0.489	3.304	1.419	5.843	1.581	20.55	6.488	6578.015	0.489	3.304	1.419	17.53	4.744	61.64	19.46	6711.781	0.145	1.212	0.388	17.81	4.503	22.98	6.395	6726.181	0.145	1.212	0.388	5.984	4.059	7.721	4.884
45	140.805	22	1	595r1_878-177180.xlsx	6557.675	0.039	0.888	0.097	104	8.903	98.28	8.597	6542.524	0.438	2.812	0.963	5.044	1.487	15.1	4.89	6578.024	0.438	2.812	0.963	15.13	4.461	45.29	14.67	6711.777	0.26	1.159	0.518	7.872	3.668	9.711	5.783	6726.177	0.26	1.159	0.518	8.255	4.572	10.18	4.564
46	139.464	22	1	595r1_878-181184.xlsx	6557.71	0.037	0.997	0.095	93.64	7.734	99.37	8.402	6542.939	0.47	3.575	1.702	5.396	1.583	20.53	7.145	6578.439	0.47	3.575	1.702	16.19	4.748	61.6	21.43	6711.557	0.004	-0.157	0	20.88	3.626	-3.492	-2.213	6725.957	0.004	-0.157	0	735.8	0	-123.1	-154
47	138.123	22	1	595r1_878-185188.xlsx	6557.718	0.045	0.988	0.113	85.44	7.899	89.87	8.513	6542.5	0.376	2.978	1.155	5.683	1.533	18.02	5.558	6578	0.376	2.978	1.155	17.05	4.598	54.05	16.67	6711.678	0.102	0.816	0.175	19.39	4.447	16.85	3.919	6726.078	0.102	0.816	0.175	0.4722	0	0.4103	0.1106
48	136.782	22	1	595r1_878-189192.xlsx	6557.736	0.056	1.049	0.113	77.96	7.466	87.08	8.526	6542.799	0.312	3.042	1.11	6.838	1.635	22.14	6.086	6578.299	0.312	3.042	1.11	20.51	4.904	66.43	18.26	6711.548	1.257	6.833	2.131	4.583	1.594	33.33	13.78	6725.948	1.257	6.833	2.131	2.595	1.541	18.87	12.06
49	135.441	22	1	595r1_878-193196.xlsx	6557.668	0.045	1.07	0.105	92.67	7.716	105.6	9.116	6545.275	1.659	13.538	3.104	3.161	0.7786	45.54	14.93	6580.775	1.659	13.538	3.104	9.482	2.336	136.6	44.78	6711.76	0.069	0.651	0.175	20.5	5.622	14.21	3.859	6726.16	0.069	0.651	0.175	16.73	5.225	11.6	3.8
50	134.1	22	1	595r1_878-197200.xlsx	6557.581	0.036	1.134	0.087	115.3	7.476	139.1	9.222	6542.858	0.109	1.025	0.305	11.49	2.62	12.54	2.972	6578.358	0.109	1.025	0.305	34.47	7.859	37.62	8.916	6711.864	0.052	-0.401	0.191	18.41	11.25	-7.853	-2.687	6726.264	0.052	-0.401	0.191	15.82	8.522	-6.751	-2.637
51	132.759	22	1	595r1_878-201204.xlsx	6557.532	0.031	1.177	0.06	166.8	7.612	209	9.732	6542.793	0.091	1.177	0.251	15.92	2.596	19.94	3.404	6578.293	0.091	1.177	0.251	47.75	7.788	59.82	10.21	6711.537	0.137	1.263	0.375	22.23	5.169	29.89	6.462	6725.937	0.137	1.263	0.375	8.647	3.849	11.63	6.344
52	131.418	22	1	595r1_878-205208.xlsx	6557.459	0.02	1.223	0.041	236	6.931	307.3	9.248	6542.348	0.177	2.237	0.475	10.58	1.709	25.19	4.451	6577.848	0.177	2.237	0.475	31.74	5.128	75.58	13.35	6711.559	0.078	0.813	0.186	20.45	4.386	17.69	4.692	6725.959	0.078	0.813	0.186	16.41	5.238	14.2	3.69
53	130.077	22	1	595r1_878-209212.xlsx	6557.423	0.014	1.189	0.031	305.8	7.018	387	9.076	6542.648	0.085	1.279	0.282	19.12	2.691	26.04	3.92	6578.148	0.085	1.279	0.282	57.35	8.072	78.11	11.76	6711.571	0.064	1.295	0.153	39.43	3.927	54.35	6.164	6725.971	0.064	1.295	0.153	24.4	3.949	33.64	4.981
54	128.736	22	1	595r1_878-213216.xlsx	6557.447	0.016	1.239	0.036	289	7.359	381.2	9.925	6542.731	0.057	0.975	0.177	22.99	2.96	23.87	3.217	6578.231	0.057	0.975	0.177	68.97	8.88	71.61	9.651	6711.688	0.033	0.83	0.079	57.21	5.006	50.52	4.615	6726.088	0.033	0.83	0.079	41.3	4.776	36.47	4.214
55	127.395	22	1	595r1_878-217220.xlsx	6557.708	0.033	1.461	0.079	135.4	6.334	210.7	10.16	6542.552	0.26	2.926	0.609	8.01	1.418	24.95	4.864	6578.052	0.26	2.926	0.609	24.03	4.254	74.85	14.59	6711.906	0.098	0.743	0.194	24.52	5.949	19.39	5.031	6726.306	0.098	0.743	0.194	10.42	5.64	8.24	4.172
56	126.054	22	1	595r1_878-221224.xlsx	6557.926	0.061	1.799	0.129	89.57	5.776	171.5	11.49	6542.857	0.447	4.37	1.001	5.708	1.174	26.55	6.277	6578.357	0.447	4.37	1.001	17.12	3.523	79.65	18.83	6712.45	0.175	0.898	0.34	22.79	5.843	21.79	7.963	6726.85	0.175	0.898	0.34	16.85	7.815	16.11	5.317
57	124.713	22	1	595r1_878-225228.xlsx	6557.726	0.067	1.187	0.198	61.94	7.852	78.25	10.26	6542.151	0.502	3.216	1.191	4.419	1.383	15.13	5.397	6577.651	0.502	3.216	1.191	13.26	4.15	45.38	16.19	6711.634	0.066	0.461	0.185	8.494	4.971	4.169	3.105	6726.034	0.066	0.461	0.185	22.71	8.415	11.15	2.986
58	123.372	22	1	595r1_878-229232.xlsx	6557.531	0.092	1.476	0.273	56.88	7.264	89.35	11.97	6542.104	0.622	3.398	1.234	3.717	1.273	13.44	5.119	6577.604	0.622	3.398	1.234	11.15	3.819	40.33	15.36	6710.591	0.128	-0.657	0.353	6.837	7.019	-4.785	-3.933	6724.991	0.128	-0.657	0.353	16.65	6.418	-11.66	-5.659
59	122.031	22	1	595r1_878-233236.xlsx	6557.834	0.123	2.665	0.226	54.73	4.797	155.3	14.7	6543.669	1.11	12.631	3.016	4.113	0.8581	55.31	17.3	6579.169	1.11	12.631	3.016	12.34	2.574	165.9	51.91	6712.79	0.593	4.042	1.198	5.818	2.321	25.03	9.769	6727.189	0.593	4.042	1.198	6.243	2.154	26.86	11.34
60	120.69	22	1	595r1_878-237240.xlsx	6557.795	0.09	2.527	0.182	79.74	5.647	214.5	15.9	6543.12	0.422	3.96	1.197	6.843	1.551	28.85	7.723	6578.62	0.422	3.96	1.197	20.53	4.654	86.54	23.17	6712.891	0.314	2.342	0.668	9.451	3.194	23.56	10.1	6727.291	0.314	2.342	0.668	11.48	3.865	28.61	8.435
61	119.349	22	1	595r1_878-241244.xlsx	6557.107	0.02	0.98	0.052	221.7	9.543	231.4	10.19	6542.313	0.331	2.394	0.94	7.567	2.115	19.28	5.824	6577.813	0.331	2.394	0.94	22.7	6.346	57.84	17.47	6713.818	1.275	7.375	1.9	2.412	1.988	18.94	14.89	6728.218	1.275	7.375	1.9	5.806	1.891	45.58	17.53
62	118.008	22	1	595r1_878-245248.xlsx	6557.079	0.015	0.921	0.031	348.5	9.495	341.5	9.504	6542.103	0.116	1.626	0.406	15.02	2.542	25.99	4.717	6577.603	0.116	1.626	0.406	45.05	7.625	77.96	14.15	6711.421	0.321	2.575	0.885	11.93	3.135	32.7	9.349	6725.821	0.321	2.575	0.885	1.072	1.664	2.938	4.793
63	116.667	22	1	595r1_878-249252.xlsx	6557.068	0.02	1.15	0.049	297.3	9.837	363.9	12.37	6542.179	0.26	1.687	0.491	7.765	2.289	13.94	4.273	6577.679	0.26	1.687	0.491	23.29	6.867	41.83	12.82	6712.272	0.764	4.997	1.71	5.969	2.22	31.75	12.24	6726.672	0.764	4.997	1.71	4.701	1.982	25	13.31
64	115.326	22	1	595r1_878-253256.xlsx	6557.107	0.015	1.17	0.034	308.8	7.6	384.6	9.693	6542.584	0.183	1.897	0.484	9.657	1.948	19.5	4.192	6578.084	0.183	1.897	0.484	28.97	5.843	58.51	12.58	6711.612	0.102	-1.09	0.236	24.16	4.908	-28.02	-5.69	6726.012	0.102	-1.09	0.236	11.05	4.234	-12.81	-5.162
65	113.985	22	1	595r1_878-257260.xlsx	6557.222	0.016	1.335	0.033	337.6	7.276	479.9	10.6	6542.566	0.07	1.349	0.199	22.68	2.486	32.57	3.767	6578.066	0.07	1.349	0.199	68.03	7.458	97.71	11.3	6711.497	0.058	1.019	0.165	41.26	5.653	44.76	6.376	6725.897	0.058	1.019	0.165	25.98	5.131	28.19	5.657
66	112.644	22	1	595r1_878-261264.xlsx	6557.124	0.013	1.272	0.03	421.2	8.314	570.4	11.57	6542.396	0.092	1.519	0.28	19.68	2.603	31.83	4.492	6577.896	0.092	1.519	0.28	59.04	7.81	95.48	13.47	6711.452	0.071	1.141	0.181	25.35	3.848	30.8	5.467	6725.852	0.071	1.141	0.181	22.36	4.259	27.18	4.676
